,traveller_unique_ID,Passage_unique_ID,passage_timestamp,air_mode,referral_to_secondary_ind,location_code,loc_encode,last_90d_air_passage_count,last_90d_referral_count,last_90d_location_count,passage_date,passage_date_month,month
21,G,13783,2014-04-03T04:55:29Z,False,0,L1,0,0.0,0.0,4.0,2014-04-03,4,4 April
22,G,13784,2014-04-03T13:39:08Z,False,0,L6,5,0.0,0.0,5.0,2014-04-03,4,4 April
23,F,13785,2014-04-03T14:58:02Z,False,0,L2,1,0.0,0.0,2.0,2014-04-03,4,4 April
24,J,13786,2014-04-03T17:03:46Z,False,0,L1,0,0.0,0.0,4.0,2014-04-03,4,4 April
25,E,13787,2014-04-03T19:41:54Z,True,0,L4,3,2.0,0.0,2.0,2014-04-03,4,4 April
26,I,13788,2014-04-03T19:59:05Z,False,0,L1,0,0.0,0.0,0.0,2014-04-03,4,4 April
27,B,13789,2014-04-03T22:33:17Z,True,0,L2,1,0.0,0.0,0.0,2014-04-03,4,4 April
28,G,13790,2014-04-03T22:45:11Z,False,0,L4,3,0.0,0.0,5.0,2014-04-03,4,4 April
29,F,13791,2014-04-03T23:20:17Z,False,0,L5,4,0.0,0.0,2.0,2014-04-03,4,4 April
30,G,13792,2014-04-04T01:18:58Z,False,0,L3,2,0.0,0.0,6.0,2014-04-04,4,4 April
31,J,13793,2014-04-04T12:23:38Z,False,0,L5,4,0.0,0.0,4.0,2014-04-04,4,4 April
32,J,13794,2014-04-04T13:22:06Z,False,0,L1,0,0.0,0.0,5.0,2014-04-04,4,4 April
33,F,13795,2014-04-04T14:51:32Z,False,0,L3,2,0.0,0.0,3.0,2014-04-04,4,4 April
34,B,13796,2014-04-04T17:58:02Z,True,1,L1,0,1.0,0.0,1.0,2014-04-04,4,4 April
35,J,13797,2014-04-04T19:00:10Z,False,0,L5,4,0.0,0.0,5.0,2014-04-04,4,4 April
36,G,13798,2014-04-04T19:18:31Z,False,0,L1,0,0.0,0.0,6.0,2014-04-04,4,4 April
37,J,13799,2014-04-04T21:33:41Z,False,0,L1,0,0.0,0.0,5.0,2014-04-04,4,4 April
38,J,13800,2014-04-04T22:35:23Z,False,0,L2,1,0.0,0.0,5.0,2014-04-04,4,4 April
39,G,13801,2014-04-04T22:42:39Z,False,0,L3,2,0.0,0.0,6.0,2014-04-04,4,4 April
40,F,13802,2014-04-05T00:06:16Z,False,0,L1,0,0.0,0.0,4.0,2014-04-05,4,4 April
41,I,13803,2014-04-05T00:07:45Z,False,0,L4,3,0.0,0.0,1.0,2014-04-05,4,4 April
42,G,13804,2014-04-05T00:57:03Z,False,0,L1,0,0.0,0.0,6.0,2014-04-05,4,4 April
43,D,13805,2014-04-05T03:47:42Z,True,0,L6,5,1.0,0.0,1.0,2014-04-05,4,4 April
44,C,13806,2014-04-05T15:44:36Z,False,0,L4,3,0.0,0.0,0.0,2014-04-05,4,4 April
45,F,13807,2014-04-05T17:19:49Z,False,0,L2,1,0.0,0.0,4.0,2014-04-05,4,4 April
46,I,13808,2014-04-05T22:00:46Z,False,0,L2,1,0.0,0.0,2.0,2014-04-05,4,4 April
47,F,13809,2014-04-05T22:40:18Z,False,0,L3,2,0.0,0.0,4.0,2014-04-05,4,4 April
48,F,13810,2014-04-06T00:53:45Z,False,0,L6,5,0.0,0.0,4.0,2014-04-06,4,4 April
49,E,13811,2014-04-06T01:11:41Z,True,0,L3,2,3.0,0.0,2.0,2014-04-06,4,4 April
50,I,13812,2014-04-06T03:15:46Z,False,0,L1,0,0.0,0.0,3.0,2014-04-06,4,4 April
51,F,13813,2014-04-06T17:24:20Z,False,0,L1,0,0.0,0.0,5.0,2014-04-06,4,4 April
52,B,13814,2014-04-06T19:24:25Z,True,1,L1,0,2.0,1.0,2.0,2014-04-06,4,4 April
53,F,13815,2014-04-06T19:47:31Z,False,0,L5,4,0.0,0.0,5.0,2014-04-06,4,4 April
54,I,13816,2014-04-07T02:17:35Z,False,0,L1,0,0.0,0.0,3.0,2014-04-07,4,4 April
55,J,13817,2014-04-07T09:23:57Z,False,0,L3,2,0.0,0.0,5.0,2014-04-07,4,4 April
56,J,13818,2014-04-07T10:45:57Z,False,0,L3,2,0.0,0.0,5.0,2014-04-07,4,4 April
57,J,13819,2014-04-07T11:44:30Z,False,0,L1,0,0.0,0.0,5.0,2014-04-07,4,4 April
58,J,13820,2014-04-07T13:45:08Z,False,0,L1,0,0.0,0.0,5.0,2014-04-07,4,4 April
59,F,13821,2014-04-07T14:51:56Z,False,0,L4,3,0.0,0.0,5.0,2014-04-07,4,4 April
60,J,13822,2014-04-07T15:47:46Z,False,0,L3,2,0.0,0.0,5.0,2014-04-07,4,4 April
61,E,13823,2014-04-07T18:03:09Z,True,0,L6,5,4.0,0.0,2.0,2014-04-07,4,4 April
62,I,13824,2014-04-07T19:34:22Z,False,0,L5,4,0.0,0.0,3.0,2014-04-07,4,4 April
63,J,13825,2014-04-07T21:34:44Z,False,0,L4,3,0.0,0.0,5.0,2014-04-07,4,4 April
64,G,13826,2014-04-07T21:38:04Z,False,0,L5,4,0.0,0.0,6.0,2014-04-07,4,4 April
65,F,13827,2014-04-07T22:13:53Z,False,0,L1,0,0.0,0.0,6.0,2014-04-07,4,4 April
66,J,13828,2014-04-07T22:46:08Z,False,0,L1,0,0.0,0.0,5.0,2014-04-07,4,4 April
67,G,13829,2014-04-07T23:51:41Z,False,0,L5,4,0.0,0.0,6.0,2014-04-07,4,4 April
68,D,13830,2014-04-08T03:46:42Z,True,0,L3,2,2.0,0.0,2.0,2014-04-08,4,4 April
69,J,13831,2014-04-08T12:28:53Z,False,0,L1,0,0.0,0.0,5.0,2014-04-08,4,4 April
70,G,13832,2014-04-08T12:51:13Z,False,0,L1,0,0.0,0.0,6.0,2014-04-08,4,4 April
71,J,13833,2014-04-08T13:48:06Z,False,0,L1,0,0.0,0.0,5.0,2014-04-08,4,4 April
72,F,13834,2014-04-08T14:45:10Z,False,0,L1,0,0.0,0.0,6.0,2014-04-08,4,4 April
73,B,13835,2014-04-08T15:15:54Z,True,1,L4,3,3.0,2.0,2.0,2014-04-08,4,4 April
74,F,13836,2014-04-08T20:28:04Z,False,0,L1,0,0.0,0.0,6.0,2014-04-08,4,4 April
75,G,13837,2014-04-08T20:30:03Z,False,0,L3,2,0.0,0.0,6.0,2014-04-08,4,4 April
76,I,13838,2014-04-08T21:05:31Z,False,0,L1,0,0.0,0.0,4.0,2014-04-08,4,4 April
77,E,13839,2014-04-08T21:20:09Z,True,0,L1,0,5.0,0.0,3.0,2014-04-08,4,4 April
78,J,13840,2014-04-08T21:32:28Z,False,0,L4,3,0.0,0.0,5.0,2014-04-08,4,4 April
79,G,13841,2014-04-08T23:05:02Z,False,0,L1,0,0.0,0.0,6.0,2014-04-08,4,4 April
80,J,13842,2014-04-08T23:11:27Z,False,0,L4,3,0.0,0.0,5.0,2014-04-08,4,4 April
81,F,13843,2014-04-09T00:17:58Z,False,0,L1,0,0.0,0.0,6.0,2014-04-09,4,4 April
82,F,13844,2014-04-09T01:18:24Z,False,0,L1,0,0.0,0.0,6.0,2014-04-09,4,4 April
83,G,13845,2014-04-09T01:43:40Z,False,0,L3,2,0.0,0.0,6.0,2014-04-09,4,4 April
84,D,13846,2014-04-09T03:53:36Z,True,0,L5,4,3.0,0.0,2.0,2014-04-09,4,4 April
85,J,13847,2014-04-09T12:39:40Z,False,0,L4,3,0.0,0.0,5.0,2014-04-09,4,4 April
86,G,13848,2014-04-09T13:33:12Z,False,0,L1,0,0.0,0.0,6.0,2014-04-09,4,4 April
87,J,13849,2014-04-09T14:20:12Z,False,0,L1,0,0.0,0.0,5.0,2014-04-09,4,4 April
88,F,13850,2014-04-09T14:49:22Z,False,0,L1,0,0.0,0.0,6.0,2014-04-09,4,4 April
89,J,13851,2014-04-09T15:58:55Z,False,0,L1,0,0.0,0.0,5.0,2014-04-09,4,4 April
90,G,13852,2014-04-09T18:00:18Z,False,0,L3,2,0.0,0.0,6.0,2014-04-09,4,4 April
91,I,13853,2014-04-09T20:24:42Z,False,0,L1,0,0.0,0.0,4.0,2014-04-09,4,4 April
92,J,13854,2014-04-09T21:16:13Z,False,0,L1,0,0.0,0.0,5.0,2014-04-09,4,4 April
93,G,13855,2014-04-09T23:06:48Z,False,0,L2,1,0.0,0.0,6.0,2014-04-09,4,4 April
94,F,13856,2014-04-10T00:43:39Z,False,0,L2,1,0.0,0.0,6.0,2014-04-10,4,4 April
95,G,13857,2014-04-10T01:34:31Z,False,0,L3,2,0.0,0.0,6.0,2014-04-10,4,4 April
96,I,13858,2014-04-10T02:37:35Z,False,0,L1,0,0.0,0.0,4.0,2014-04-10,4,4 April
97,D,13859,2014-04-10T03:48:53Z,True,0,L4,3,4.0,0.0,3.0,2014-04-10,4,4 April
98,F,13860,2014-04-10T14:46:58Z,False,0,L3,2,0.0,0.0,6.0,2014-04-10,4,4 April
99,L,13861,2014-04-10T15:19:52Z,True,0,L3,2,0.0,0.0,0.0,2014-04-10,4,4 April
100,E,13862,2014-04-10T20:35:40Z,True,0,L3,2,6.0,0.0,4.0,2014-04-10,4,4 April
101,F,13863,2014-04-10T20:40:41Z,False,0,L1,0,0.0,0.0,6.0,2014-04-10,4,4 April
102,I,13864,2014-04-10T20:55:36Z,False,0,L1,0,0.0,0.0,4.0,2014-04-10,4,4 April
103,B,13865,2014-04-10T21:35:51Z,True,1,L1,0,4.0,3.0,3.0,2014-04-10,4,4 April
104,G,13866,2014-04-10T23:59:09Z,False,0,L2,1,0.0,0.0,6.0,2014-04-10,4,4 April
105,J,13867,2014-04-11T01:17:40Z,False,0,L6,5,0.0,0.0,5.0,2014-04-11,4,4 April
106,F,13868,2014-04-11T01:45:41Z,False,0,L3,2,0.0,0.0,6.0,2014-04-11,4,4 April
107,D,13869,2014-04-11T03:47:59Z,True,0,L3,2,5.0,0.0,4.0,2014-04-11,4,4 April
108,J,13870,2014-04-11T12:31:23Z,False,0,L4,3,0.0,0.0,6.0,2014-04-11,4,4 April
109,J,13871,2014-04-11T13:56:22Z,False,0,L1,0,0.0,0.0,6.0,2014-04-11,4,4 April
110,F,13872,2014-04-11T14:40:53Z,False,0,L3,2,0.0,0.0,6.0,2014-04-11,4,4 April
111,F,13873,2014-04-11T16:46:46Z,False,0,L5,4,0.0,0.0,6.0,2014-04-11,4,4 April
112,B,13874,2014-04-11T18:41:58Z,True,1,L3,2,5.0,4.0,3.0,2014-04-11,4,4 April
113,G,13875,2014-04-11T19:49:47Z,False,0,L4,3,0.0,0.0,6.0,2014-04-11,4,4 April
114,E,13876,2014-04-11T20:44:40Z,True,0,L4,3,7.0,0.0,4.0,2014-04-11,4,4 April
115,I,13877,2014-04-11T21:22:12Z,False,0,L4,3,0.0,0.0,4.0,2014-04-11,4,4 April
116,F,13878,2014-04-11T21:30:42Z,False,0,L1,0,0.0,0.0,6.0,2014-04-11,4,4 April
117,J,13879,2014-04-11T21:32:28Z,False,0,L1,0,0.0,0.0,6.0,2014-04-11,4,4 April
118,G,13880,2014-04-11T22:24:36Z,False,0,L3,2,0.0,0.0,6.0,2014-04-11,4,4 April
119,J,13881,2014-04-11T22:49:31Z,False,0,L5,4,0.0,0.0,6.0,2014-04-11,4,4 April
120,G,13882,2014-04-12T00:37:17Z,False,0,L1,0,0.0,0.0,6.0,2014-04-12,4,4 April
121,I,13883,2014-04-12T02:29:45Z,False,0,L4,3,0.0,0.0,4.0,2014-04-12,4,4 April
122,B,13884,2014-04-12T03:34:26Z,True,1,L4,3,6.0,5.0,4.0,2014-04-12,4,4 April
123,D,13885,2014-04-12T03:55:39Z,True,0,L4,3,6.0,0.0,4.0,2014-04-12,4,4 April
124,F,13886,2014-04-12T21:07:36Z,False,0,L3,2,0.0,0.0,6.0,2014-04-12,4,4 April
125,G,13887,2014-04-13T00:07:24Z,False,0,L1,0,0.0,0.0,6.0,2014-04-13,4,4 April
126,B,13888,2014-04-13T03:26:30Z,True,1,L2,1,7.0,6.0,4.0,2014-04-13,4,4 April
127,E,13889,2014-04-13T04:31:42Z,True,0,L6,5,8.0,0.0,4.0,2014-04-13,4,4 April
128,D,13890,2014-04-13T07:51:47Z,True,0,L1,0,7.0,0.0,4.0,2014-04-13,4,4 April
129,I,13891,2014-04-14T04:10:25Z,False,0,L3,2,0.0,0.0,4.0,2014-04-14,4,4 April
130,J,13892,2014-04-14T09:27:46Z,False,0,L2,1,0.0,0.0,6.0,2014-04-14,4,4 April
131,J,13893,2014-04-14T10:45:38Z,False,0,L4,3,0.0,0.0,6.0,2014-04-14,4,4 April
132,J,13894,2014-04-14T11:55:11Z,False,0,L3,2,0.0,0.0,6.0,2014-04-14,4,4 April
133,G,13895,2014-04-14T13:28:04Z,False,0,L2,1,0.0,0.0,6.0,2014-04-14,4,4 April
134,J,13896,2014-04-14T13:38:56Z,False,0,L5,4,0.0,0.0,6.0,2014-04-14,4,4 April
135,F,13897,2014-04-14T14:55:04Z,False,0,L4,3,0.0,0.0,6.0,2014-04-14,4,4 April
136,G,13898,2014-04-14T17:46:58Z,False,0,L5,4,0.0,0.0,6.0,2014-04-14,4,4 April
137,B,13899,2014-04-14T19:43:59Z,True,1,L1,0,8.0,7.0,4.0,2014-04-14,4,4 April
138,F,13900,2014-04-14T20:11:35Z,False,0,L5,4,0.0,0.0,6.0,2014-04-14,4,4 April
139,J,13901,2014-04-14T21:32:20Z,False,0,L3,2,0.0,0.0,6.0,2014-04-14,4,4 April
140,G,13902,2014-04-14T23:03:56Z,False,0,L1,0,0.0,0.0,6.0,2014-04-14,4,4 April
141,F,13903,2014-04-15T00:50:30Z,False,0,L1,0,0.0,0.0,6.0,2014-04-15,4,4 April
142,J,13904,2014-04-15T00:53:35Z,False,0,L4,3,0.0,0.0,6.0,2014-04-15,4,4 April
143,G,13905,2014-04-15T00:57:04Z,False,0,L5,4,0.0,0.0,6.0,2014-04-15,4,4 April
144,E,13906,2014-04-15T01:11:32Z,True,0,L3,2,9.0,0.0,4.0,2014-04-15,4,4 April
145,D,13907,2014-04-15T03:48:42Z,True,0,L5,4,8.0,0.0,5.0,2014-04-15,4,4 April
146,G,13908,2014-04-15T13:51:03Z,False,0,L1,0,0.0,0.0,6.0,2014-04-15,4,4 April
147,F,13909,2014-04-15T14:49:43Z,False,0,L2,1,0.0,0.0,6.0,2014-04-15,4,4 April
148,J,13910,2014-04-15T16:27:23Z,False,0,L1,0,0.0,0.0,6.0,2014-04-15,4,4 April
149,G,13911,2014-04-15T16:48:57Z,False,0,L1,0,0.0,0.0,6.0,2014-04-15,4,4 April
150,I,13912,2014-04-15T18:58:15Z,False,0,L3,2,0.0,0.0,5.0,2014-04-15,4,4 April
151,G,13913,2014-04-15T19:08:01Z,False,0,L1,0,0.0,0.0,6.0,2014-04-15,4,4 April
152,J,13914,2014-04-15T22:17:06Z,False,0,L5,4,0.0,0.0,6.0,2014-04-15,4,4 April
153,G,13915,2014-04-15T23:18:21Z,False,0,L1,0,0.0,0.0,6.0,2014-04-15,4,4 April
154,F,13916,2014-04-16T00:17:28Z,False,0,L3,2,0.0,0.0,6.0,2014-04-16,4,4 April
155,G,13917,2014-04-16T01:19:16Z,False,0,L5,4,0.0,0.0,6.0,2014-04-16,4,4 April
156,B,13918,2014-04-16T01:36:44Z,True,1,L1,0,9.0,8.0,4.0,2014-04-16,4,4 April
157,I,13919,2014-04-16T01:53:26Z,False,0,L1,0,0.0,0.0,5.0,2014-04-16,4,4 April
158,D,13920,2014-04-16T05:46:09Z,True,0,L1,0,9.0,0.0,5.0,2014-04-16,4,4 April
159,J,13921,2014-04-16T12:26:19Z,False,0,L3,2,0.0,0.0,6.0,2014-04-16,4,4 April
160,G,13922,2014-04-16T14:14:01Z,False,0,L2,1,0.0,0.0,6.0,2014-04-16,4,4 April
161,J,13923,2014-04-16T14:19:08Z,False,0,L4,3,0.0,0.0,6.0,2014-04-16,4,4 April
162,F,13924,2014-04-16T14:53:42Z,False,0,L4,3,0.0,0.0,6.0,2014-04-16,4,4 April
163,G,13925,2014-04-16T17:18:31Z,False,0,L1,0,0.0,0.0,6.0,2014-04-16,4,4 April
164,G,13926,2014-04-16T20:05:11Z,False,0,L4,3,0.0,0.0,6.0,2014-04-16,4,4 April
165,E,13927,2014-04-16T20:32:08Z,True,0,L1,0,10.0,0.0,4.0,2014-04-16,4,4 April
166,J,13928,2014-04-16T21:30:43Z,False,0,L4,3,0.0,0.0,6.0,2014-04-16,4,4 April
167,J,13929,2014-04-16T23:22:04Z,False,0,L1,0,0.0,0.0,6.0,2014-04-16,4,4 April
168,G,13930,2014-04-16T23:27:08Z,False,0,L1,0,0.0,0.0,6.0,2014-04-16,4,4 April
169,B,13931,2014-04-16T23:36:30Z,True,1,L1,0,10.0,9.0,4.0,2014-04-16,4,4 April
170,D,13932,2014-04-17T03:46:43Z,True,0,L3,2,10.0,0.0,5.0,2014-04-17,4,4 April
171,F,13933,2014-04-17T14:48:20Z,False,0,L4,3,0.0,0.0,6.0,2014-04-17,4,4 April
172,G,13934,2014-04-17T15:06:08Z,False,0,L4,3,0.0,0.0,6.0,2014-04-17,4,4 April
173,G,13935,2014-04-17T22:38:00Z,False,0,L4,3,0.0,0.0,6.0,2014-04-17,4,4 April
174,F,13936,2014-04-17T23:02:01Z,False,0,L4,3,0.0,0.0,6.0,2014-04-17,4,4 April
175,G,13937,2014-04-18T01:20:58Z,False,0,L1,0,0.0,0.0,6.0,2014-04-18,4,4 April
176,G,13938,2014-04-18T03:08:24Z,False,0,L5,4,0.0,0.0,6.0,2014-04-18,4,4 April
177,J,13939,2014-04-18T12:33:09Z,False,0,L4,3,0.0,0.0,6.0,2014-04-18,4,4 April
178,J,13940,2014-04-18T13:47:46Z,False,0,L5,4,0.0,0.0,6.0,2014-04-18,4,4 April
179,F,13941,2014-04-18T16:35:11Z,False,0,L5,4,0.0,0.0,6.0,2014-04-18,4,4 April
180,F,13942,2014-04-18T19:05:35Z,False,0,L2,1,0.0,0.0,6.0,2014-04-18,4,4 April
181,G,13943,2014-04-18T21:30:28Z,False,0,L2,1,0.0,0.0,6.0,2014-04-18,4,4 April
182,J,13944,2014-04-18T21:33:43Z,False,0,L1,0,0.0,0.0,6.0,2014-04-18,4,4 April
183,J,13945,2014-04-18T22:43:38Z,False,0,L1,0,0.0,0.0,6.0,2014-04-18,4,4 April
184,G,13946,2014-04-18T23:21:37Z,False,0,L3,2,0.0,0.0,6.0,2014-04-18,4,4 April
185,F,13947,2014-04-19T01:00:50Z,False,0,L3,2,0.0,0.0,6.0,2014-04-19,4,4 April
186,D,13948,2014-04-19T07:17:35Z,True,0,L2,1,11.0,0.0,5.0,2014-04-19,4,4 April
187,F,13949,2014-04-19T16:50:29Z,False,0,L5,4,0.0,0.0,6.0,2014-04-19,4,4 April
188,F,13950,2014-04-19T20:40:43Z,False,0,L1,0,0.0,0.0,6.0,2014-04-19,4,4 April
189,I,13951,2014-04-19T21:00:04Z,False,0,L1,0,0.0,0.0,5.0,2014-04-19,4,4 April
190,F,13952,2014-04-19T21:35:41Z,False,0,L1,0,0.0,0.0,6.0,2014-04-19,4,4 April
191,N,13953,2014-04-19T22:55:08Z,False,0,L5,4,0.0,0.0,0.0,2014-04-19,4,4 April
192,J,13954,2014-04-20T00:18:05Z,False,0,L1,0,0.0,0.0,6.0,2014-04-20,4,4 April
193,B,13955,2014-04-20T00:44:37Z,True,1,L1,0,11.0,10.0,4.0,2014-04-20,4,4 April
194,D,13956,2014-04-20T05:49:37Z,True,0,L1,0,12.0,0.0,6.0,2014-04-20,4,4 April
195,E,13957,2014-04-20T07:55:40Z,True,0,L1,0,11.0,0.0,4.0,2014-04-20,4,4 April
196,C,13958,2014-04-20T13:33:32Z,False,0,L4,3,0.0,0.0,1.0,2014-04-20,4,4 April
197,I,13959,2014-04-20T20:46:08Z,False,0,L1,0,0.0,0.0,5.0,2014-04-20,4,4 April
198,J,13960,2014-04-21T10:46:45Z,False,0,L3,2,0.0,0.0,6.0,2014-04-21,4,4 April
199,J,13961,2014-04-21T11:49:28Z,False,0,L3,2,0.0,0.0,6.0,2014-04-21,4,4 April
200,J,13962,2014-04-21T13:26:26Z,False,0,L2,1,0.0,0.0,6.0,2014-04-21,4,4 April
201,G,13963,2014-04-21T14:57:29Z,False,0,L4,3,0.0,0.0,6.0,2014-04-21,4,4 April
202,F,13964,2014-04-21T20:35:50Z,False,0,L5,4,0.0,0.0,6.0,2014-04-21,4,4 April
203,G,13965,2014-04-21T21:16:53Z,False,0,L4,3,0.0,0.0,6.0,2014-04-21,4,4 April
204,J,13966,2014-04-21T21:34:24Z,False,0,L1,0,0.0,0.0,6.0,2014-04-21,4,4 April
205,F,13967,2014-04-21T22:17:35Z,False,0,L4,3,0.0,0.0,6.0,2014-04-21,4,4 April
206,J,13968,2014-04-21T22:39:56Z,False,0,L6,5,0.0,0.0,6.0,2014-04-21,4,4 April
207,G,13969,2014-04-21T23:36:12Z,False,0,L4,3,0.0,0.0,6.0,2014-04-21,4,4 April
208,G,13970,2014-04-22T02:10:50Z,False,0,L1,0,0.0,0.0,6.0,2014-04-22,4,4 April
209,D,13971,2014-04-22T03:50:21Z,True,0,L1,0,13.0,0.0,6.0,2014-04-22,4,4 April
210,F,13972,2014-04-22T14:50:38Z,False,0,L4,3,0.0,0.0,6.0,2014-04-22,4,4 April
211,G,13973,2014-04-22T22:15:12Z,False,0,L3,2,0.0,0.0,6.0,2014-04-22,4,4 April
212,G,13974,2014-04-23T00:03:11Z,False,0,L1,0,0.0,0.0,6.0,2014-04-23,4,4 April
213,F,13975,2014-04-23T00:15:42Z,False,0,L1,0,0.0,0.0,6.0,2014-04-23,4,4 April
214,G,13976,2014-04-23T13:44:02Z,False,0,L4,3,0.0,0.0,6.0,2014-04-23,4,4 April
215,F,13977,2014-04-23T14:48:44Z,False,0,L5,4,0.0,0.0,6.0,2014-04-23,4,4 April
216,G,13978,2014-04-23T16:27:49Z,False,0,L4,3,0.0,0.0,6.0,2014-04-23,4,4 April
217,G,13979,2014-04-23T19:48:56Z,False,0,L1,0,0.0,0.0,6.0,2014-04-23,4,4 April
218,F,13980,2014-04-23T22:05:18Z,False,0,L4,3,0.0,0.0,6.0,2014-04-23,4,4 April
219,G,13981,2014-04-23T22:33:23Z,False,0,L2,1,0.0,0.0,6.0,2014-04-23,4,4 April
220,F,13982,2014-04-23T23:24:17Z,False,0,L4,3,0.0,0.0,6.0,2014-04-23,4,4 April
221,G,13983,2014-04-24T00:41:51Z,False,0,L1,0,0.0,0.0,6.0,2014-04-24,4,4 April
222,B,13984,2014-04-24T02:43:55Z,True,1,L4,3,12.0,11.0,4.0,2014-04-24,4,4 April
223,D,13985,2014-04-24T03:44:54Z,True,0,L6,5,14.0,0.0,6.0,2014-04-24,4,4 April
224,G,13986,2014-04-24T13:27:37Z,False,0,L1,0,0.0,0.0,6.0,2014-04-24,4,4 April
225,F,13987,2014-04-24T14:45:03Z,False,0,L5,4,0.0,0.0,6.0,2014-04-24,4,4 April
226,I,13988,2014-04-24T18:04:37Z,False,0,L1,0,0.0,0.0,5.0,2014-04-24,4,4 April
227,F,13989,2014-04-24T19:42:55Z,False,0,L1,0,0.0,0.0,6.0,2014-04-24,4,4 April
228,E,13990,2014-04-24T20:40:14Z,True,0,L1,0,12.0,0.0,4.0,2014-04-24,4,4 April
229,G,13991,2014-04-24T21:14:25Z,False,0,L1,0,0.0,0.0,6.0,2014-04-24,4,4 April
230,G,13992,2014-04-24T23:45:14Z,False,0,L1,0,0.0,0.0,6.0,2014-04-24,4,4 April
231,I,13993,2014-04-25T00:33:18Z,False,0,L1,0,0.0,0.0,5.0,2014-04-25,4,4 April
232,J,13994,2014-04-25T00:46:40Z,False,0,L1,0,0.0,0.0,6.0,2014-04-25,4,4 April
233,G,13995,2014-04-25T01:34:52Z,False,0,L1,0,0.0,0.0,6.0,2014-04-25,4,4 April
234,D,13996,2014-04-25T04:25:14Z,True,0,L6,5,15.0,0.0,6.0,2014-04-25,4,4 April
235,G,13997,2014-04-25T12:30:35Z,False,0,L5,4,0.0,0.0,6.0,2014-04-25,4,4 April
236,J,13998,2014-04-25T12:33:50Z,False,0,L1,0,0.0,0.0,6.0,2014-04-25,4,4 April
237,J,13999,2014-04-25T13:33:25Z,False,0,L2,1,0.0,0.0,6.0,2014-04-25,4,4 April
238,I,14000,2014-04-25T15:26:38Z,False,0,L4,3,0.0,0.0,5.0,2014-04-25,4,4 April
239,G,14001,2014-04-25T16:08:39Z,False,0,L4,3,0.0,0.0,6.0,2014-04-25,4,4 April
240,F,14002,2014-04-25T16:19:19Z,False,0,L1,0,0.0,0.0,6.0,2014-04-25,4,4 April
241,B,14003,2014-04-25T19:44:06Z,True,1,L4,3,13.0,12.0,4.0,2014-04-25,4,4 April
242,G,14004,2014-04-25T20:23:12Z,False,0,L1,0,0.0,0.0,6.0,2014-04-25,4,4 April
243,J,14005,2014-04-25T21:30:53Z,False,0,L1,0,0.0,0.0,6.0,2014-04-25,4,4 April
244,E,14006,2014-04-25T22:11:44Z,True,0,L4,3,13.0,0.0,4.0,2014-04-25,4,4 April
245,G,14007,2014-04-25T22:29:18Z,False,0,L4,3,0.0,0.0,6.0,2014-04-25,4,4 April
